datetime,location_id,pickup_demand,dropoff_demand
2023-05-01 10:45:00,237,57.0,72.0
2023-05-01 11:00:00,132,54.0,16.0
2023-05-01 11:00:00,138,59.0,29.0
2023-05-01 11:00:00,142,47.0,36.0
2023-05-01 11:00:00,161,52.0,52.0
2023-05-01 11:00:00,162,42.0,36.0
2023-05-01 11:00:00,170,41.0,31.0
2023-05-01 11:00:00,186,59.0,19.0
2023-05-01 11:00:00,230,44.0,42.0
2023-05-01 11:00:00,236,63.0,60.0
2023-05-01 11:00:00,237,71.0,75.0
2023-05-01 11:15:00,132,70.0,18.0
2023-05-01 11:15:00,138,83.0,16.0
2023-05-01 11:15:00,142,31.0,42.0
2023-05-01 11:15:00,161,54.0,64.0
2023-05-01 11:15:00,162,40.0,44.0
2023-05-01 11:15:00,170,41.0,47.0
2023-05-01 11:15:00,186,48.0,21.0
2023-05-01 11:15:00,230,41.0,35.0
2023-05-01 11:15:00,236,69.0,84.0
2023-05-01 11:15:00,237,83.0,68.0
2023-05-01 11:30:00,132,74.0,18.0
2023-05-01 11:30:00,138,66.0,38.0
2023-05-01 11:30:00,142,42.0,42.0
2023-05-01 11:30:00,161,71.0,78.0
2023-05-01 11:30:00,162,66.0,50.0
2023-05-01 11:30:00,170,48.0,38.0
2023-05-01 11:30:00,186,39.0,21.0
2023-05-01 11:30:00,230,32.0,20.0
2023-05-01 11:30:00,236,77.0,76.0
2023-05-01 11:30:00,237,70.0,75.0
2023-05-01 11:45:00,132,69.0,17.0
2023-05-01 11:45:00,138,65.0,37.0
2023-05-01 11:45:00,142,49.0,33.0
2023-05-01 11:45:00,161,69.0,73.0
2023-05-01 11:45:00,162,40.0,63.0
2023-05-01 11:45:00,170,45.0,49.0
2023-05-01 11:45:00,186,45.0,18.0
2023-05-01 11:45:00,230,39.0,37.0
2023-05-01 11:45:00,236,68.0,70.0
2023-05-01 11:45:00,237,82.0,107.0
2023-05-01 12:00:00,132,59.0,16.0
2023-05-01 12:00:00,138,55.0,24.0
2023-05-01 12:00:00,142,56.0,46.0
2023-05-01 12:00:00,161,64.0,75.0
2023-05-01 12:00:00,162,71.0,57.0
2023-05-01 12:00:00,170,35.0,35.0
2023-05-01 12:00:00,186,41.0,28.0
2023-05-01 12:00:00,230,55.0,34.0
2023-05-01 12:00:00,236,88.0,77.0
2023-05-01 12:00:00,237,84.0,83.0
2023-05-01 12:15:00,132,66.0,16.0
2023-05-01 12:15:00,138,66.0,35.0
2023-05-01 12:15:00,142,41.0,42.0
2023-05-01 12:15:00,161,73.0,81.0
2023-05-01 12:15:00,162,49.0,54.0
2023-05-01 12:15:00,170,47.0,47.0
2023-05-01 12:15:00,186,50.0,25.0
2023-05-01 12:15:00,230,44.0,54.0
2023-05-01 12:15:00,236,92.0,71.0
2023-05-01 12:15:00,237,78.0,99.0
2023-05-01 12:30:00,132,68.0,16.0
2023-05-01 12:30:00,138,75.0,24.0
2023-05-01 12:30:00,142,35.0,54.0
2023-05-01 12:30:00,161,70.0,64.0
2023-05-01 12:30:00,162,53.0,64.0
2023-05-01 12:30:00,170,51.0,42.0
2023-05-01 12:30:00,186,29.0,30.0
2023-05-01 12:30:00,230,30.0,35.0
2023-05-01 12:30:00,236,84.0,67.0
2023-05-01 12:30:00,237,89.0,107.0
2023-05-01 12:45:00,132,57.0,28.0
2023-05-01 12:45:00,138,61.0,39.0
2023-05-01 12:45:00,142,57.0,46.0
2023-05-01 12:45:00,161,68.0,81.0
2023-05-01 12:45:00,162,51.0,41.0
2023-05-01 12:45:00,170,45.0,56.0
2023-05-01 12:45:00,186,45.0,25.0
2023-05-01 12:45:00,230,25.0,34.0
2023-05-01 12:45:00,236,84.0,75.0
2023-05-01 12:45:00,237,93.0,106.0
